tool_family,channel,channel_name,unit,progress_bin,progress_center,n,physical_mae,physical_signed_error
reach,1,shoulder_lift,rad_delta,2,0.25,7,0.07255406145704911,0.037653839709569835
reach,1,shoulder_lift,rad_delta,4,0.45,7,0.02600722769275308,0.01044065932344113
reach,1,shoulder_lift,rad_delta,5,0.55,4,0.03489546120399609,0.019655093073379246
reach,1,shoulder_lift,rad_delta,6,0.65,1,0.03504891991615297,0.03504891991615297
reach,1,shoulder_lift,rad_delta,7,0.75,6,0.05136808560540279,-0.00023738561818997111
reach,1,shoulder_lift,rad_delta,9,0.95,11,0.03383984098380263,0.006830807572061366
reach,2,upperarm_roll,rad_delta,0,0.05,11,0.10223126829686491,0.0843186923556707
reach,2,upperarm_roll,rad_delta,2,0.25,7,0.058620087376662675,0.01844004307474409
reach,2,upperarm_roll,rad_delta,4,0.45,7,0.07345153761229344,0.02267535283629384
reach,2,upperarm_roll,rad_delta,5,0.55,4,0.02779375968966634,0.007847566739656024
reach,2,upperarm_roll,rad_delta,6,0.65,1,0.0006637856364250204,-0.0006637856364250204
reach,2,upperarm_roll,rad_delta,7,0.75,6,0.03981420753213267,0.015747853089123968
reach,2,upperarm_roll,rad_delta,9,0.95,11,0.035037700002166355,0.006959256953136494
reach,3,elbow_flex,rad_delta,0,0.05,11,0.0040402919054031376,0.0039526408368890905
reach,3,elbow_flex,rad_delta,2,0.25,7,0.005555765969412664,0.005555765969412664
reach,3,elbow_flex,rad_delta,4,0.45,7,0.011055618950298857,0.011055618950298857
reach,3,elbow_flex,rad_delta,5,0.55,4,0.0023320995271205805,0.0020437881350517315
reach,3,elbow_flex,rad_delta,6,0.65,1,0.0075128033757209806,0.0075128033757209806
reach,3,elbow_flex,rad_delta,7,0.75,6,0.005974752207597099,0.005974752207597099
reach,3,elbow_flex,rad_delta,9,0.95,11,0.04958907786164095,0.019418520010499787
reach,4,forearm_roll,rad_delta,0,0.05,11,0.011968317831104452,0.005470937625928355
reach,4,forearm_roll,rad_delta,2,0.25,7,0.0366160142368504,-0.00352268892207315
reach,4,forearm_roll,rad_delta,4,0.45,7,0.037756485678255555,-0.004329964012971941
reach,4,forearm_roll,rad_delta,5,0.55,4,0.01937053203582764,0.01937053203582764
reach,4,forearm_roll,rad_delta,6,0.65,1,0.048588550835847864,-0.048588550835847864
reach,4,forearm_roll,rad_delta,7,0.75,6,0.019910756622751557,0.011538531755407649
reach,4,forearm_roll,rad_delta,9,0.95,11,0.04679847147569738,-0.00850102164443921
reach,5,wrist_flex,rad_delta,0,0.05,11,0.0031890674070878446,0.0029792885888706546
